#generation tag fitness FoM -a -b -c -d -e -f -g 
0 deme3_ind9 0.995979 2239.52 0.37368747 -0.84544214 1.0036751 -1.0029138 1.6702323 -1.6445844 0.52030094 
0 deme3_ind10 4.53999e-05 8146.52 1.1458859 -0.99987935 1.6495192 -0.38473139 1.3479465 -1.1921666 1.6134936 
0 deme3_ind11 0.0108972 6170.86 1.102778 -0.36406132 1.0080956 -1.6900706 0.56892691 -1.1795859 1.0013943 
0 deme3_ind12 0.633131 3407.27 1.606012 -0.4417112 1.0024019 -0.99431046 0.99499388 -0.9943882 1.0746364 
0 deme3_ind13 0.440683 3844.07 0.55608048 -1.1083266 0.49097845 -0.32567194 1.1892995 -1.3551624 1.0035328 
0 deme3_ind14 0.959395 2506.63 0.90616515 -1.6177185 1.0093519 -1.1581304 0.60206596 -0.37727934 1.0039043 
0 deme3_ind15 0.719689 3211.79 1.1366288 -0.84301454 1.0062239 -1 1 -1 1 
0 deme3_ind16 1 2118.52 1.1511253 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.84078501 
0 deme3_ind17 0.879353 2802.02 1.0030492 -0.99176376 0.8743211 -0.99054186 1.0059603 -0.3881118 0.99969785 
0 deme3_ind18 0.293626 4228.7 1 -1 1 -1 1 -1 1 
0 deme3_ind19 1 2118.52 1.1511253 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.84078501 
1 deme3_ind20 0.129494 2463.82 1.1511253 -1.6287573 1.1411262 -1.1568869 1.1631108 -0.53643344 0.84078501 
1 deme3_ind21 0.637463 1742.67 0.90616515 -1.6149661 1.0093519 -1.1568869 0.60206596 -0.37727934 0.84078501 
1 deme3_ind22 0.0284151 2898.47 1.0030492 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.99969785 
1 deme3_ind23 4.53999e-05 4110.59 0.37368747 -0.84544214 1.0036751 -1.0029138 0.60206596 -1.6445844 1.0039043 
1 deme3_ind24 0.174472 2360.82 0.90616515 -0.84301454 1.0093519 -1.1581304 0.60206596 -0.37727934 1.0039043 
1 deme3_ind25 0.19936 2311.9 0.90616515 -1.6177185 1.1411262 -1.1581304 1.1631108 -0.53643344 0.84078501 
1 deme3_ind26 0.107505 2524.33 1.1511253 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.9943882 0.84078501 
1 deme3_ind27 0.500459 1895.69 0.37368747 -0.84544214 1.0036751 -1.1568869 1.1631108 -1.6445844 0.52030094 
1 deme3_ind28 1 1104.88 0.37368747 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.52030094 
1 deme3_ind29 0.320683 2118.52 1.1511253 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.84078501 
2 deme3_ind30 0.393041 2499.4 0.90616515 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.84078501 
2 deme3_ind31 0.0722608 3444.03 0.37368747 -0.84301454 1.0093519 -1.1581304 0.60206596 -1.6445844 1.0039043 
2 deme3_ind32 0.99775 1173.36 0.90616515 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.52030094 
2 deme3_ind33 0.514465 2281.34 0.37368747 -0.95061128 0.49269315 -1.1568869 1.1631108 -0.94838258 0.84078501 
2 deme3_ind34 0.647689 2055.93 0.90616515 -1.6149661 1.1411262 -1.1581304 1.1631108 -0.53643344 0.76370536 
2 deme3_ind35 0.599083 2137.82 0.90895182 -2.2464834 0.89991975 -0.5223072 0.62373169 -0.32690024 0.83530928 
2 deme3_ind36 0.450046 2394.32 0.37368747 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.84078501 
2 deme3_ind37 4.53999e-05 5668.29 0.37368747 -0.84544214 1.0036751 -1.1568869 1.1631108 -1.6445844 1.1831159 
2 deme3_ind38 0.989568 1252.66 0.37368747 -1.6149661 1.0036751 -1.15715 1.1631108 -0.53643344 0.52030094 
2 deme3_ind39 1 1104.88 0.37368747 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.52030094 
3 deme3_ind40 1 508.118 0.91399012 -1.5889669 0.99923427 -0.61043141 0.62030653 -0.98482194 0.13767773 
3 deme3_ind41 0.000681051 2702.99 0.37054569 -0.34762797 -0.04538838 -1.8499236 0.82894166 -1.3314797 0.84379724 
