#generation tag fitness FoM -a -b -c -d -e -f -g 
3 deme3_ind42 4.53999e-05 3078.46 0.90895182 -1.6149661 1.0036751 -0.5223072 1.1631108 -0.32690024 0.83530928 
3 deme3_ind43 0.595278 1093.53 0.37368747 -1.6149661 1.1411262 -1.15715 1.1631108 -0.53643344 0.52030094 
3 deme3_ind44 0.363573 1325.7 0.33430633 -0.9742695 0.91106436 -0.5039008 1.8208633 -0.61783116 0.46122771 
3 deme3_ind45 0.057335 1882.43 0.89900924 -1.6149661 1.1411262 -0.92722324 0.62373169 -0.32690024 0.83530928 
3 deme3_ind46 0.677527 1015.27 0.81435143 -0.93417706 1.7658938 -1.1455474 1.1725663 0.073061644 0.51955866 
3 deme3_ind47 0.000138884 2930.5 0.37368747 -0.95061128 0.49269315 -1.1568869 0.60206596 -1.6445844 0.84078501 
3 deme3_ind48 0.732122 961.991 0.90895182 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.32690024 0.4471862 
3 deme3_ind49 0.583312 1104.88 0.37368747 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.53643344 0.52030094 
4 deme3_ind50 0.435482 1252.98 0.90895182 -1.5889669 1.1411262 -0.61043141 0.62030653 -0.98482194 0.4471862 
4 deme3_ind51 4.53999e-05 3722.62 1.0233408 -0.98642357 0.51948572 -0.93418853 1.1644925 -0.32663959 1.0732756 
4 deme3_ind52 0.941696 521.407 0.81435143 -0.93417706 1.7658938 -0.61043141 0.62030653 -0.98482194 0.13767773 
4 deme3_ind53 0.769454 814.223 1.3126595 -0.79882079 1.1411262 -1.1363411 1.1631108 -0.32690024 0.4471862 
4 deme3_ind54 1 252.447 0.91399012 -0.93417706 0.99923427 -1.1455474 1.1725663 0.073061644 0.13767773 
4 deme3_ind55 5.40859e-05 3692.11 0.37338596 -1.6135365 1.2126643 -1.8035518 1.1941468 -0.59683386 1.1050763 
4 deme3_ind56 0.471654 1203.75 0.37368747 -0.93417706 1.1411262 -1.1413099 1.1725663 -0.53643344 0.52030094 
4 deme3_ind57 0.42908 1261.85 0.37368747 -1.1159354 0.99923427 -0.61043141 0.62030653 -0.98482194 0.52030094 
4 deme3_ind58 0.585096 1055.84 1.5154079 -1.6149661 1.1411262 -1.1568869 1.1631108 -0.32690024 0.4471862 
4 deme3_ind59 0.947164 508.118 0.91399012 -1.5889669 0.99923427 -0.61043141 0.62030653 -0.98482194 0.13767773 
