#generation tag fitness FoM -a -b -c -d -e -f -g 
0 deme2_ind9 0.730187 2254.14 1.1437559 -0.54944091 0.39817959 -1.1271883 0.31460986 -1.193337 0.86252701 
0 deme2_ind10 0.111449 3683.43 1 -1 1 -1 1.0061334 -1 1 
0 deme2_ind11 0.459532 2752.59 1.6019934 -1.1121098 1.1296484 -1.0058106 0.31981843 -1.1273952 0.99074653 
0 deme2_ind12 0.000999423 5464.52 1 -1 1 -1 0.86926426 -1 1 
0 deme2_ind13 0.865329 1973.97 0.99114933 -0.85634547 0.31336041 -0.89938156 0.30925753 -0.99088707 0.86496777 
0 deme2_ind14 0.140408 3559 0.36306477 -1 1 -1 1 -1 1 
0 deme2_ind15 0.263878 3175.63 1.0207072 -0.87353335 1.0081602 -0.90865345 0.87755097 -0.4118174 0.99913782 
0 deme2_ind16 4.53999e-05 6293.52 1 -1 1 -1 1 -0.83606941 1 
0 deme2_ind17 1 1383.44 1.4645293 -0.88616616 1.0086455 -0.91497235 1.1349548 -0.65017377 0.50492582 
0 deme2_ind18 0.0348082 4228.7 1 -1 1 -1 1 -1 1 
0 deme2_ind19 1 1383.44 1.4645293 -0.88616616 1.0086455 -0.91497235 1.1349548 -0.65017377 0.50492582 
1 deme2_ind20 1 632.714 1.4500346 -1.0489027 1.6789107 -0.91942159 0.99115486 -0.12359007 0.43398353 
1 deme2_ind21 0.0312889 2128.31 1.4645293 -0.54944091 0.39817959 -1.1271883 0.31460986 -1.193337 0.86252701 
1 deme2_ind22 0.417575 1383.6 0.87004791 -1.1591209 1.0175233 -1.0819298 0.51010173 -0.65205739 0.67886455 
1 deme2_ind23 0.835913 972.887 1.1437559 -0.88616616 1.0086455 -0.91497235 1.1349548 -0.65017377 0.50492582 
1 deme2_ind24 7.78128e-05 3104.25 1.0207072 -0.54944091 0.39817959 -0.90865345 0.31460986 -1.193337 0.99913782 
1 deme2_ind25 0.00403825 2519.17 1.1386347 -1.1121098 1.1296484 -1.0058106 0.31981843 -0.65017377 0.99074653 
1 deme2_ind26 4.53999e-05 3173.65 1.4645293 -0.88616616 1.0001214 -0.91497235 1 -0.65017377 1 
1 deme2_ind27 7.69906e-05 3105.64 1.1437559 -0.54944091 1.0086455 -1.1271883 0.31460986 -1.193337 0.86252701 
