#generation tag fitness FoM -a -b -c -d -e -f -g 
1 deme2_ind28 0.0034373 2546.54 1.0207072 -0.87353335 1.0081602 -0.90865345 0.87755097 0.22334687 0.99913782 
1 deme2_ind29 0.417729 1383.44 1.4645293 -0.88616616 1.0086455 -0.91497235 1.1349548 -0.65017377 0.50492582 
2 deme2_ind30 0.117326 1693.75 1.1437559 -1.1591209 1.0175233 -1.0819298 0.51010173 -0.93040128 0.67886455 
2 deme2_ind31 4.53999e-05 3491.88 0.83735807 -0.99549609 1.0186909 -0.51717623 1.1324189 -0.58670395 1.1132659 
2 deme2_ind32 0.336144 1249.42 1.1437559 -0.88616616 1.0086455 -0.91942159 1.1349548 -0.65017377 0.50492582 
2 deme2_ind33 0.562443 947.121 1.1437559 -1.0489027 1.0086455 -0.91497235 0.99115486 -0.12359007 0.50492582 
2 deme2_ind34 0.280118 1338.28 0.87004791 -1.1591209 1.6789107 -0.91942159 0.51010173 -0.65205739 0.67886455 
2 deme2_ind35 0.672369 811.019 1.1437559 -0.88616616 1.0086455 -0.91942159 0.99115486 -0.65017377 0.43398353 
2 deme2_ind36 0.636849 855.159 1.4747491 -1.1591209 1.0086455 -0.26085628 0.51010173 -0.65205739 0.50492582 
2 deme2_ind37 0.211871 1462.82 1.1437559 -0.88616616 1.0086455 -0.91497235 1.601997 -0.65017377 0.50492582 
2 deme2_ind38 1 144.004 0.481247 -0.28510705 0.87326759 -0.43434231 1.6680389 -0.65225198 -0.1264827 
2 deme2_ind39 0.808083 632.714 1.4500346 -1.0489027 1.6789107 -0.91942159 0.99115486 -0.12359007 0.43398353 
3 deme2_ind40 0.618129 1028.22 1.1437559 -1.1591209 1.1478384 -0.26085628 0.51010173 -0.65205739 0.50492582 
3 deme2_ind41 0.697612 909.013 0.40130229 -0.24356058 0.96888647 -0.99010357 1.0509892 -0.6470465 -0.78770257 
3 deme2_ind42 0.999932 154.535 1.1437559 -0.88616616 1.0086455 -0.43434231 0.99115486 -0.65225198 -0.1264827 
3 deme2_ind43 4.53999e-05 4175.44 1.4429313 -0.36526837 2.1356355 -1.5249435 1.1889548 -0.1035352 1.1075202 
3 deme2_ind44 0.862147 634.994 1.4500346 -0.28510705 0.87326759 -0.91942159 0.99115486 -0.12359007 0.43398353 
3 deme2_ind45 0.968622 371.632 0.481247 -1.1591209 1.0175233 -1.0819298 1.6680389 -0.93040128 -0.1264827 
3 deme2_ind46 0.386152 1387.57 1.1437559 -1.0489027 1.0086455 -0.91497235 0.99115486 -0.65017377 0.50492582 
3 deme2_ind47 0.15515 1884.24 1.1437559 -0.24072759 1.0175233 -1.0819298 0.5668191 -0.93040128 0.67886455 
3 deme2_ind48 0.712951 885.549 1.4747491 -1.1591209 1.0086455 -0.26085628 0.99115486 -0.65017377 0.43398353 
3 deme2_ind49 1 144.004 0.481247 -0.28510705 0.87326759 -0.43434231 1.6680389 -0.65225198 -0.1264827 
4 deme2_ind50 0.132552 684.833 1.4500346 -0.24356058 0.87326759 -0.91942159 0.99115486 -0.12359007 0.43398353 
4 deme2_ind51 0.983933 192.423 0.43697522 -1.1591209 1.1478384 -0.43434231 1.6680389 -0.65205739 -0.1264827 
4 deme2_ind52 0.00631083 1000.27 1.1437559 -0.28510705 1.0086455 -0.91497235 0.99344311 -0.65017377 0.43398353 
4 deme2_ind53 0.255118 588.666 1.4403436 -0.2506808 1.5020102 -0.44033967 0.38964306 -0.12343628 0.43106445 
4 deme2_ind54 0.014206 928.704 1.1437559 -1.1591209 1.0086455 -0.26085628 0.51010173 -0.65205739 0.50492582 
4 deme2_ind55 0.744773 350.529 0.481247 -1.1591209 1.0086455 -0.43434231 1.6680389 -0.93040128 -0.1264827 
4 deme2_ind56 0.761912 342.396 0.48443624 -0.55968638 1.0240211 -0.43599531 1.9446057 -0.92985927 -0.37991759 
4 deme2_ind57 0.827124 309.752 0.481247 -1.1591209 1.0086455 -1.0819298 1.6680389 -0.93040128 -0.1264827 
4 deme2_ind58 4.53999e-05 1347.1 0.40130229 -0.24356058 0.96888647 -1.0819298 1.0509892 -0.93040128 -0.78770257 
4 deme2_ind59 1 144.004 0.481247 -0.28510705 0.87326759 -0.43434231 1.6680389 -0.65225198 -0.1264827 
