#generation tag fitness FoM -a -b -c -d -e -f -g 
0 deme4_ind9 0.734017 3206.3 1 -1 1 -1 1 -1 0.87800646 
0 deme4_ind10 0.332242 4401.27 1 -1 1 -1.0071898 1 -1 1 
0 deme4_ind11 4.53999e-05 9515.32 1.0056006 -0.99412825 0.8789369 -1.003766 1.6875847 -0.32109084 1.6906878 
0 deme4_ind12 1 1860.16 0.31741708 -1.1156842 0.30516604 -1.1018665 1.1679141 -0.36903314 0.70185149 
0 deme4_ind13 0.804162 2990.32 1.612264 -0.83759662 0.38948428 -0.82467576 1.0016953 -0.99265217 0.99985887 
0 deme4_ind14 0.794238 3022.07 0.94857645 -1.1444591 1.0014464 -1.648177 0.35949433 -0.86602566 1.0009605 
0 deme4_ind15 0.82797 2911.96 1 -0.32960941 1 -1 1 -1.007984 1 
0 deme4_ind16 0.645436 3461.96 1 -1 1 -1 0.82282374 -1 1 
0 deme4_ind17 0.700049 3305.76 1 -1 1 -1 0.99812166 -1 1 
0 deme4_ind18 0.383923 4228.7 1 -1 1 -1 1 -1 1 
0 deme4_ind19 0.853661 2823.07 0.99398237 -1.1971493 1.2570304 -0.33802498 0.79969065 -0.86478257 0.9905345 
1 deme4_ind20 0.22828 3062.99 0.73607544 -1 1.2570304 -0.33802498 0.82282374 -0.86478257 0.9905345 
1 deme4_ind21 0.291105 2899.2 1.0007486 -0.99899805 0.9994278 -1.0038467 1.004987 -0.40810036 0.99383823 
1 deme4_ind22 0.028492 4114.55 1 -1 1 -1.0071898 0.99812166 -1 1 
1 deme4_ind23 4.53999e-05 6114.47 0.94857645 -1.1971493 1.1810092 -0.33802498 0.35949433 -0.86478257 0.9905345 
1 deme4_ind24 0.83341 1827.12 0.27666584 -0.8785508 0.30818718 -1.1018321 1.8605256 0.23680967 0.38606229 
1 deme4_ind25 0.234017 3046.92 0.99398237 -1.1971493 0.30516604 -0.33802498 0.79969065 -1.5205322 0.9905345 
1 deme4_ind26 1 1158.03 0.84603471 -1.6733741 0.34676359 -0.39009217 0.98566997 -1.0075825 0.39191368 
1 deme4_ind27 0.236464 3040.15 0.94857645 -1.1444591 1 -1 1 -1 0.87800646 
1 deme4_ind28 0.0204593 4249.08 1.612264 -0.83759662 0.38948428 -0.96965307 0.82282374 -1 1.1365012 
1 deme4_ind29 0.818177 1860.16 0.31741708 -1.1156842 0.30516604 -1.1018665 1.1679141 -0.36903314 0.70185149 
2 deme4_ind30 1 511.8 1.0007486 -0.8785508 0.9994278 -1.0038467 1.004987 0.23680967 0.38606229 
2 deme4_ind31 0.936989 865.938 0.25059908 -0.8771286 -0.06894889 -1.0994922 1.6867573 0.23800269 0.42694127 
2 deme4_ind32 0.0973793 2630.33 -0.028778093 -1.7291364 0.30777664 -1.1084005 1.1569191 -1.0543886 0.79598712 
2 deme4_ind33 0.318178 1997.28 0.31741708 -1.6733741 0.34676359 -0.39009217 1.1679141 -1.0075825 0.70185149 
2 deme4_ind34 0.0382389 3019.67 0.99398237 -1.5552329 0.9994278 -0.33802498 0.79969065 -0.40810036 0.99383823 
2 deme4_ind35 0.453491 1746.22 0.31741708 -1.1156842 0.30516604 -1.1018665 1.004987 -0.40572741 0.70185149 
