#generation tag fitness FoM -a -b -c -d -e -f -g 
2 deme4_ind36 0.00523057 3693.43 1.0007486 -0.99899805 0.9994278 -1.0038467 1.8605256 -0.40810036 0.99383823 
2 deme4_ind37 4.53999e-05 4901.52 0.84603471 -1.6733741 0.34676359 -0.39009217 0.98566997 -1.0075825 1.3011806 
2 deme4_ind38 0.889605 986.575 0.73607544 -1.6733741 0.34676359 -0.39009217 0.98566997 -1.0075825 0.39191368 
2 deme4_ind39 0.805152 1158.03 0.84603471 -1.6733741 0.34676359 -0.39009217 0.98566997 -1.0075825 0.39191368 
3 deme4_ind40 0.246698 819.582 1.0007486 -1.6733741 0.9994278 -0.39009217 1.004987 -0.44220804 0.39191368 
3 deme4_ind41 0.690694 442.583 0.73607544 -1.6733741 0.34676359 -1.0038467 0.98566997 -1.0075825 -0.23319744 
3 deme4_ind42 4.53999e-05 2117.9 0.31741708 -1.6733741 0.34676359 0.21938435 1.1679141 -1.0075825 0.70185149 
3 deme4_ind43 0.00185895 1688.41 0.25059908 -0.7690675 0.34676359 -1.0994922 0.98566997 -1.6114763 0.42694127 
3 deme4_ind44 0.563206 540.57 1.0007486 -0.8785508 0.34676359 -1.0038467 1.004987 0.41856878 0.39191368 
3 deme4_ind45 0.0548686 1161.16 0.85103552 -1.4214554 -0.34038757 -0.46223719 1.6749174 -1.0040357 0.39359729 
3 deme4_ind46 1 43.5396 1.0007486 -0.8785508 0.9994278 -1.0038467 1.004987 0.23680967 -0.21608259 
3 deme4_ind47 0.507164 584.038 1.0007486 -0.8785508 0.9994278 0.042748005 0.98566997 0.23680967 0.38606229 
3 deme4_ind48 0.144953 955.162 0.82332519 -2.2887559 0.34801608 0.090443417 0.86504354 -1.0007568 0.44368709 
3 deme4_ind49 0.600753 511.8 1.0007486 -0.8785508 0.9994278 -1.0038467 1.004987 0.23680967 0.38606229 
4 deme4_ind50 0.00123697 974.85 0.82332519 -2.2887559 0.34801608 0.090443417 0.86504354 -1.0007568 0.38606229 
4 deme4_ind51 0.947785 109.888 1.2097351 -0.87356014 0.38443908 -1.0026241 0.67176627 -0.39532161 -0.21455423 
4 deme4_ind52 0.226085 472.549 1.1035438 -0.88001861 1.0045191 -1.2005355 0.32514579 0.23681784 0.38438638 
4 deme4_ind53 0.0614016 638.155 1.0007486 -0.8785508 0.34676359 -1.0038467 1.004987 0.23680967 0.39191368 
4 deme4_ind54 0.11495 564.864 1.0007486 -1.0341009 0.9994278 -1.0038467 0.98566997 0.23680967 0.38606229 
4 deme4_ind55 4.53999e-05 1185.88 0.73607544 -1.6733741 0.34676359 -1.0038467 0.98566997 -1.0075825 0.39191368 
4 deme4_ind56 0.997988 41.3442 1.0007486 -0.8785508 0.9994278 -1.0038467 1.004987 0.41856878 -0.21608259 
4 deme4_ind57 1 24.8655 1.0007486 -0.8785508 0.9994278 -1.0038467 1.004987 0.23680967 -0.21472403 
4 deme4_ind58 0.999871 29.0384 1.0007486 -0.8785508 0.34676359 -1.0038467 1.004987 0.23680967 -0.21608259 
4 deme4_ind59 0.997416 43.5396 1.0007486 -0.8785508 0.9994278 -1.0038467 1.004987 0.23680967 -0.21608259 
